term,strength.x,rank.x,strength.y,rank.y,source,strength,rank
termite diversity,20,2,19,4,Both,NA,NA
arbuscular mycorrhizal,23,5,121,148,Both,NA,NA
central india,32,12,74,73,Both,NA,NA
forest transition,33,14,256,259,Both,NA,NA
tropical agricultural,37,18,99,120,Both,NA,NA
tropical andes,41,24,97,115,Both,NA,NA
swamp forest,42,26,169,202,Both,NA,NA
amazon forest,43,27,285,271,Both,NA,NA
rubber plantations,47,36,174,206,Both,NA,NA
peruvian amazon,49,38,63,54,Both,NA,NA
disturbed tropical,50,42,74,73,Both,NA,NA
central sulawesi,54,46,55,44,Both,NA,NA
amazonian forests,59,50,95,109,Both,NA,NA
atlantic forest restoration,60,51,122,149,Both,NA,NA
passive restoration,60,51,212,235,Both,NA,NA
tropical secondary,61,54,380,304,Both,NA,NA
atlantic forests,63,55,84,96,Both,NA,NA
western ghats,67,59,174,206,Both,NA,NA
southern china,68,60,65,57,Both,NA,NA
forest conversion,71,66,393,309,Both,NA,NA
biosphere reserve,75,69,80,86,Both,NA,NA
southern mexico,79,72,75,76,Both,NA,NA
humid tropical,84,76,324,284,Both,NA,NA
southeastern brazil,85,77,194,222,Both,NA,NA
stand structure,91,81,115,138,Both,NA,NA
litter decomposition,93,82,197,225,Both,NA,NA
secondary tropical,94,84,376,303,Both,NA,NA
shifting cultivation,99,87,346,290,Both,NA,NA
degraded tropical,100,88,332,286,Both,NA,NA
lowland forest,101,89,216,242,Both,NA,NA
above-ground biomass,104,95,460,326,Both,NA,NA
tropical forest conservation,104,95,338,287,Both,NA,NA
non-timber forest products,105,97,253,256,Both,NA,NA
subtropical forests,106,98,291,274,Both,NA,NA
lowland tropical,107,99,205,230,Both,NA,NA
tropical forest regeneration,110,100,76,77,Both,NA,NA
non-timber forest,125,102,262,263,Both,NA,NA
timber species,132,103,183,211,Both,NA,NA
tropical rainforests,134,104,228,248,Both,NA,NA
carbon sequestration,137,105,3807,397,Both,NA,NA
forest fragmentation,140,107,190,218,Both,NA,NA
secondary succession,142,108,297,277,Both,NA,NA
enrichment planting,143,109,109,132,Both,NA,NA
timber production,143,109,225,246,Both,NA,NA
change mitigation,148,113,1657,388,Both,NA,NA
climate change mitigation,148,113,1633,386,Both,NA,NA
cloud forest,154,116,138,169,Both,NA,NA
brazilian amazon,162,117,372,302,Both,NA,NA
plant community,163,118,115,138,Both,NA,NA
deciduous forest,166,119,262,263,Both,NA,NA
subtropical forest,166,119,435,315,Both,NA,NA
forest products,169,121,604,347,Both,NA,NA
floristic composition,170,122,129,158,Both,NA,NA
tropical ecosystems,170,122,627,350,Both,NA,NA
landscape restoration,175,124,504,336,Both,NA,NA
functional traits,176,125,347,291,Both,NA,NA
natural forest regeneration,185,126,186,215,Both,NA,NA
cover change,188,127,652,351,Both,NA,NA
ecosystem services,190,128,5144,399,Both,NA,NA
woody species,190,128,266,266,Both,NA,NA
carbon storage,193,130,2215,394,Both,NA,NA
forest disturbance,198,131,212,235,Both,NA,NA
tropical montane,198,131,287,273,Both,NA,NA
land-use change,216,134,809,360,Both,NA,NA
plant diversity,226,136,194,222,Both,NA,NA
montane forest,229,137,354,296,Both,NA,NA
biodiversity hotspot,238,138,363,301,Both,NA,NA
ecosystem functioning,244,139,394,310,Both,NA,NA
forest succession,246,140,357,298,Both,NA,NA
native forest,247,141,538,339,Both,NA,NA
protected areas,253,142,568,343,Both,NA,NA
forest landscape,255,143,806,359,Both,NA,NA
brazilian atlantic forest,262,144,472,330,Both,NA,NA
functional diversity,262,144,490,334,Both,NA,NA
aboveground biomass,266,146,1339,377,Both,NA,NA
forest degradation,276,147,1512,384,Both,NA,NA
brazilian atlantic,277,148,472,330,Both,NA,NA
vegetation structure,279,149,214,238,Both,NA,NA
tropical rainforest,287,151,437,316,Both,NA,NA
remote sensing,289,152,898,367,Both,NA,NA
carbon stocks,301,153,2839,395,Both,NA,NA
anthropogenic disturbance,306,154,299,278,Both,NA,NA
community composition,309,155,442,318,Both,NA,NA
ecological restoration,316,156,683,354,Both,NA,NA
selective logging,323,157,439,317,Both,NA,NA
agroforestry systems,324,158,1066,372,Both,NA,NA
carbon stock,346,160,3640,396,Both,NA,NA
forest recovery,357,161,506,337,Both,NA,NA
agroforestry system,362,162,1216,375,Both,NA,NA
forest ecosystems,367,163,1349,379,Both,NA,NA
tropical forest restoration,372,164,501,335,Both,NA,NA
plant species,420,165,550,341,Both,NA,NA
sustainable forest management,423,166,1053,371,Both,NA,NA
tropical region,438,167,2024,393,Both,NA,NA
sustainable forest,478,168,1124,373,Both,NA,NA
forest conservation,495,169,1444,383,Both,NA,NA
forest structure,495,169,590,346,Both,NA,NA
atlantic forest,533,172,959,370,Both,NA,NA
biodiversity conservation,545,173,1409,381,Both,NA,NA
forest ecosystem,545,173,1841,390,Both,NA,NA
forest cover,596,175,1367,380,Both,NA,NA
natural regeneration,614,176,822,361,Both,NA,NA
climate change,661,177,4459,398,Both,NA,NA
secondary forests,669,178,1438,382,Both,NA,NA
natural forest,693,179,1346,378,Both,NA,NA
species diversity,714,180,668,352,Both,NA,NA
forest management,817,181,1970,392,Both,NA,NA
forest regeneration,819,182,900,368,Both,NA,NA
species composition,874,183,723,358,Both,NA,NA
forest restoration,917,184,1650,387,Both,NA,NA
secondary forest,997,185,1857,391,Both,NA,NA
species richness,1374,186,1237,376,Both,NA,NA
tropical forests,2200,187,5560,401,Both,NA,NA
tropical forest,3462,188,8092,402,Both,NA,NA
tropical coastal,NA,NA,NA,NA,Old Only,13,1
brazilian caatinga,NA,NA,NA,NA,Old Only,21,3
south africa,NA,NA,NA,NA,Old Only,22,4
habitat associations,NA,NA,NA,NA,Old Only,23,5
southeast asian,NA,NA,NA,NA,Old Only,23,5
southern india,NA,NA,NA,NA,Old Only,25,8
seedling growth,NA,NA,NA,NA,Old Only,29,9
eastern ghats,NA,NA,NA,NA,Old Only,30,10
mexican tropical,NA,NA,NA,NA,Old Only,30,10
butterfly diversity,NA,NA,NA,NA,Old Only,32,12
contrasting patterns,NA,NA,NA,NA,Old Only,33,14
lowland tropical forests,NA,NA,NA,NA,Old Only,33,14
northeastern brazil,NA,NA,NA,NA,Old Only,35,17
central african,NA,NA,NA,NA,Old Only,37,18
forest margins,NA,NA,NA,NA,Old Only,37,18
unmanned aerial,NA,NA,NA,NA,Old Only,39,21
unmanned aerial vehicle,NA,NA,NA,NA,Old Only,39,21
forest chronosequence,NA,NA,NA,NA,Old Only,40,23
vertical stratification,NA,NA,NA,NA,Old Only,41,24
biomass stocks,NA,NA,NA,NA,Old Only,43,27
brazilian amazonia,NA,NA,NA,NA,Old Only,43,27
elevational gradient,NA,NA,NA,NA,Old Only,43,27
understory birds,NA,NA,NA,NA,Old Only,43,27
agricultural intensification,NA,NA,NA,NA,Old Only,44,32
disturbance regimes,NA,NA,NA,NA,Old Only,45,33
southern brazilian,NA,NA,NA,NA,Old Only,45,33
forest restoration plantations,NA,NA,NA,NA,Old Only,46,35
aerial vehicle,NA,NA,NA,NA,Old Only,47,36
logging roads,NA,NA,NA,NA,Old Only,49,38
tropical cloud,NA,NA,NA,NA,Old Only,49,38
tropical cloud forest,NA,NA,NA,NA,Old Only,49,38
ecological indicators,NA,NA,NA,NA,Old Only,50,42
beetle assemblages,NA,NA,NA,NA,Old Only,51,44
restoration plantations,NA,NA,NA,NA,Old Only,52,45
structural complexity,NA,NA,NA,NA,Old Only,54,46
structural diversity,NA,NA,NA,NA,Old Only,54,46
invasive plant,NA,NA,NA,NA,Old Only,56,49
functional composition,NA,NA,NA,NA,Old Only,60,51
tectona grandis,NA,NA,NA,NA,Old Only,65,56
direct seeding,NA,NA,NA,NA,Old Only,66,57
tropical mountain,NA,NA,NA,NA,Old Only,66,57
cocoa agroforests,NA,NA,NA,NA,Old Only,68,60
landscape forest cover,NA,NA,NA,NA,Old Only,69,62
dipterocarp forest,NA,NA,NA,NA,Old Only,70,63
forest community,NA,NA,NA,NA,Old Only,70,63
tropical forest biodiversity,NA,NA,NA,NA,Old Only,70,63
beetle diversity,NA,NA,NA,NA,Old Only,71,66
landscape forest,NA,NA,NA,NA,Old Only,74,68
secondary forest succession,NA,NA,NA,NA,Old Only,75,69
frugivorous birds,NA,NA,NA,NA,Old Only,76,71
degraded areas,NA,NA,NA,NA,Old Only,80,73
forest resources,NA,NA,NA,NA,Old Only,80,73
conservation status,NA,NA,NA,NA,Old Only,83,75
amazonian forest,NA,NA,NA,NA,Old Only,85,77
southern brazil,NA,NA,NA,NA,Old Only,85,77
timber extraction,NA,NA,NA,NA,Old Only,85,77
second-growth forests,NA,NA,NA,NA,Old Only,93,82
fragmented landscape,NA,NA,NA,NA,Old Only,94,84
southern costa,NA,NA,NA,NA,Old Only,95,86
disturbance gradient,NA,NA,NA,NA,Old Only,102,90
montane cloud,NA,NA,NA,NA,Old Only,102,90
montane cloud forest,NA,NA,NA,NA,Old Only,102,90
tropical montane cloud,NA,NA,NA,NA,Old Only,102,90
tropical montane cloud forest,NA,NA,NA,NA,Old Only,102,90
genetic diversity,NA,NA,NA,NA,Old Only,124,101
forest reserve,NA,NA,NA,NA,Old Only,138,106
forest biodiversity,NA,NA,NA,NA,Old Only,143,109
plant communities,NA,NA,NA,NA,Old Only,147,112
degraded lands,NA,NA,NA,NA,Old Only,148,113
active restoration,NA,NA,NA,NA,Old Only,215,133
woody plant,NA,NA,NA,NA,Old Only,222,135
forest species,NA,NA,NA,NA,Old Only,283,150
community structure,NA,NA,NA,NA,Old Only,327,159
