duplicate_id,database,document_type,author,year,title,source,volume,article_number,abstract,keywords,doi,url,notes,ZZ,source_type,issue,start_page,end_page,supertaxa,date_generated,issn,accession_zr,C6,edition,CP,A1,journal,pages,number,isbn,label,record_ids
1001,Scopus,Article,"Musa, M.B. and Anik, C.S. and Emon, N.U. and Rahman, R. and Nila, T.M. and Datta, P. and Kilpeläinen, A. and Kamrul Hassan, M. and Baul, T.K.",2025,Optimal plot size and shape for sampling growing stocks and tree species diversity in tropical forests: Results from a forest inventory in Hazarikhil Wildlife Sanctuary of Bangladesh,"Forest Ecology and Management, FOREST ECOLOGY AND MANAGEMENT",585,122679,"Tropical Forests play a significant role in providing ecosystem services such as biomass carbon, timber, and tree species diversity. However, variations in sampling layouts such as plot sizes and shapes in forest inventory can cause discrepancies in the estimation of tree biomass carbon, thus hindering planning, sustainable forest management, and conservation of tropical forests. We estimated tree growing stocks (tree density, seedling density, basal area, stand volume, and above-ground biomass carbon) and tree species diversity (Shannon-Wiener Index and Jaccard Index) using different sampling layout in Hazarikhil Wildlife Sanctuary (HWS) of Southeastern Bangladesh. The results obtained from different plot sizes and shapes were compared to those derived from a complete enumeration of 1 ha (10,000 m2) of the same forest land. We also estimated coefficient of variation (CV%) and evaluated optimal plot size and shape in terms of estimation accuracy and time efficiency. The survey was carried out in 450 concentric plots (50 points with three sample plot sizes of 400, 900, and 1134 m2 under circular, rectangular, and square plot shapes) where all trees and bamboo with a DBH of ≥ 5 cm were measured. Moreover, three subplots with a size of 4, 9, and 20 m2 were placed to count the number of seedlings in three different shapes, thus making a total of 450 subplots in 50 points. Our results revealed that tree density, basal area, stand volume and AGBC were 4652, 38 m2, 526 m3, and 98 Mg per hectare, respectively, in the complete enumeration. Tree growing stocks and Shannon-Wiener index estimated in the large (1134 m2) circular plots were close to those in the complete enumeration. The seedling density in small circular subplots was highest. The lower CV% values observed for all these attributes in large circular plots indicated higher accuracy in estimation. We recommend, large (1134 m2) circular plots to estimate growing stocks and tree species diversity while large (19 m2) circular subplots to estimate seedling density in hill forests. © 2025 Elsevier B.V.","Above ground biomass and Biomass carbon estimation and Forest inventory, Growing stocks and Plot size and shape and Tree species diversity and Biomass and Carbon and Density and Estimation and Forests and Sampling and Shape and Trees and Bangladesh and Aboveground biomass and Biomass carbon estimation and Carbon estimations and Forest inventory and Forest inventory, growing stock and Growing stocks and Plot size and shape and Size and shape and Tree species diversity and Tropical forest and aboveground biomass and bamboo and conservation management and estimation method and forest inventory and forest management and sampling and seedling and species diversity and tropical forest and volume and Forest ecology",10.1016/j.foreco.2025.122679,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000855123&doi=10.1016%2fj.foreco.2025.122679&partnerID=40&md5=5431082b7e945609a51e0e632b19f661,Export Date: 25 April 2025; Cited By: 0,﻿TY  - JOUR,JOUR,NA,NA,NA,NA,JUN 1,0378-1127 and 1872-7042,WOS:001459193200001,NA,NA,NA,NA,NA,NA,NA,NA,"unknown, unknown","1001, 3807"
1003,Scopus,Article,"de Oliveira, C.S. and dos Santos, J.C.B. and da Silva, L.F.V. and de Freitas, A.D.S. and de Medeiros, E.V. and Alves, M.J.G. and Dubeux, J.C.B. and Lira Junior, M.A.",2025,A scientometrics analysis of silvopastoral systems: what we know and what we need to know?,"Agroforestry Systems, AGROFORESTRY SYSTEMS",99,9,"Silvopastoral systems (SPS) are a sustainable alternative to reduce livestock environmental impacts and restore degraded pastures due to their higher diversity, increased forage production and quality, enhanced soil quality, and C storage. Legume-based silvopastoral systems also contribute through biological nitrogen fixation by the legume component. In this study we evaluate the scientific production on the Web of Science database from 2010 to 2022, with a two-step process. First the keywords “silvopastoral systems” were used for an initial analysis of the overall literature, followed by “legume” or “enzym*” or “microbial communit*, yielding more than 870 papers. The number of publications grew exponentially during the period evaluated, and between 2019 and 2022, approximately 63% of all publications occurred. Brazil had the largest number of published articles, followed by Mexico, USA, Spain, and Colombia. There was also a network of collaborations between institutions in these countries. Agriculture is the research area with the most published articles, with the most studied topics being management, biodiversity, and nutrient dynamics and cycling, especially carbon and nitrogen. However, only nine of these studied the soil microbial community and five, the soil enzymatic activity. Although these previous studies have observed the effect of SPS on important soil indicators, how SPS is used as a restoration tool to affect the microbial biomass and activity of extracellular enzymes remains poorly understood and is important to validate the regeneration strategies. Thus, this article analyzes the evolution of publications on this agroecosystem to advance the knowledge and sustainability in those segments that are still little studied, such as the microbial community and soil enzymatic activity. © The Author(s), under exclusive licence to Springer Nature B.V. 2024.",Agroforestry and Legume-grass consortium and Soil functioning and Soil health and Sustainability and Brazil and Colombia and Mexico [North America] and Spain and United States and agricultural ecosystem and biomass and grass and legume and microbial community and nitrogen fixation and nutrient dynamics and sustainability,10.1007/s10457-024-01120-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212875570&doi=10.1007%2fs10457-024-01120-5&partnerID=40&md5=8f0845983130649c2721d3fb7bf4cf9b,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,1,NA,NA,NA,JAN,0167-4366 and 1572-9680,WOS:001382992200009,NA,NA,NA,NA,NA,NA,NA,NA,"unknown, unknown","1003, 5562"
1005,Scopus,Article,"Munhoz, H.M. and Francisco, B.S. and Prudente, V.H.R. and Mercante, E. and Temponi, L.G.",2025,"Forest fragmentation dynamics in the direct influence area of Iguaçu National Park, Brazil",Environmental Monitoring and Assessment,197,334,"The landscape in the Gonçalves Dias River sub-basin is composed of the eastern portion of Iguaçu National Park and the agricultural matrix, inserted within its direct influence area. The sub-basin covers a priority area for biodiversity conservation and restoration in Paraná, as well as encompassing a strategic area for the formation of ecological corridors. We assessed the temporal dynamics of forest fragments in the eastern direct influence area of Iguaçu National Park and identified the predominant factors for the current landscape configuration. We used Geoprocessing techniques for the automatic delimitation of the sub-basin and Remote Sensing for the spatiotemporal analysis of Landsat images at 15-year intervals (1986, 2001, and 2016) to determine the history of land use and land cover changes. We obtained metrics and indices of the fragments composing the landscape of the agricultural matrix in 2016. Our spatiotemporal analysis revealed that the agricultural matrix was already fragmented in 1986 and that there was an increase in native forest cover during the analyzed period. We identified physical constraints for the implementation of agricultural activities, which were related to the native forest cover rate and its distribution. Of the 204 forest fragments identified in the landscape, 90% have an area below 50 ha. The fragmented landscape in the direct influence area of Iguaçu National Park was the result of the historical process of predominantly agricultural land use, guided by the few physical constraints of the relief. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.","Subtropical forest; Atlantic Forest; Paraná; Remote Sensing and Agriculture and Biodiversity and Brazil and Conservation of Natural Resources and Ecosystem and Environmental Monitoring and Forests and Parks, Recreational and Spatio-Temporal Analysis and Brazil and Iguacu National Park and Parana [Brazil] and Deforestation and Hurricanes and Hydrogeology and Matrix algebra and Reforestation and Tropics and Watersheds and Atlantic forest and Atlantic forest; and Forest fragments and matrix and National parks and Parana; and Remote-sensing and Subbasins and Subtropical forest; and Subtropical forests and biodiversity and forest cover and fragmentation and land cover and land use change and Landsat and remote sensing and spatiotemporal analysis and agricultural land and article and benchmarking and Brazil and conservation biology and controlled study and dynamics and forest and forest fragmentation and land use and national park and remote sensing and river and spatiotemporal analysis and agriculture and biodiversity and Brazil and ecosystem and environmental monitoring and environmental protection and procedures and recreational park and Biodiversity",10.1007/s10661-025-13801-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219631028&doi=10.1007%2fs10661-025-13801-4&partnerID=40&md5=38e5625df08c804cabebc391b352d0bb,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,1005
1009,Scopus,Article,"de Freitas, A.S. and Zagatto, L.F.G. and Rocha, G.S. and Muchalak, F. and Martins, G.L. and Silva-Zagatto, S.D.S. and Hanada, R.E. and Muniz, A.W. and Tsai, S.M.",2025,Harnessing the synergy of Urochloa brizantha and Amazonian Dark Earth microbiomes for enhanced pasture recovery,"BMC Microbiology, BMC MICROBIOLOGY",25,27,"Amazonian Dark Earths (ADEs) are fertile soils from the Amazon rainforest that harbor microorganisms with biotechnological potential. This study aimed to investigate the individual and potential synergistic effects of a 2% portion of ADEs and Urochloa brizantha cv. Marandu roots (Brazil’s most common grass species used for pastures) on soil prokaryotic communities and overall soil attributes in degraded soil. We conducted a comprehensive plant succession experiment in the greenhouse, utilizing vase soil samples for next-generation sequencing of 16 S rDNA, enzymatic activity assays, and soil chemical properties analysis. Univariate and multivariate analyses were performed to understand better the prokaryotic interactions within soil environments influenced by ADEs and U. brizantha roots, including differential abundance, diversity, and network analyses. Our findings reveal a complementary relationship between U. brizantha and ADEs, each contributing to distinct positive aspects of soil bacterial communities and quality. The combined influence of U. brizantha roots and ADEs exhibited synergies that enhanced prokaryotic diversity and enzyme activity. This balance supported plant growth and increased the general availability of beneficial bacteria in the soil, such as Chujaibacter and Curtobacterium while reducing the presence of potentially pathogenic taxa. This research provided valuable insights into the intricate dynamics of plant-soil feedback, emphasizing the potential for complementary interactions between specific plant species and unique soil environments like ADEs. The findings highlight the potential for pasture ecological rehabilitation and underscore the benefits of integrating plant and soil management strategies to optimize soil characteristics. © The Author(s) 2025.","Amplicon data and Ecological restoration and Microbial ecology and Next-generation sequencing and Soil science and Bacteria and Biodiversity and Brazil and Microbiota and Plant Roots and Poaceae and Rainforest and RNA, Ribosomal, 16S and Soil and Soil Microbiology and calcium and copper and magnesium and manganese and phosphorus and potassium and RNA 16S and RNA 16S and Actinobacteria and algorithm and Amazona and amazonian dark earth and Article and bioinformatics and Chloroflexi and controlled study and DNA extraction and enzyme activity and enzyme linked immunosorbent assay and Firmicutes and greenhouse effect and high throughput sequencing and microbial community and microbiome and network analysis and nonhuman and pasture and plant growth and Proteobacteria and sequence analysis and Simpson index and soil management and spectrophotometry and synergistic effect and two-dimensional imaging and Urochloa and urochloa brizantha and bacterium and biodiversity and Brazil and chemistry and classification and genetics and isolation and purification and metabolism and microbiology and microflora and plant root and Poaceae and rain forest and soil",10.1186/s12866-024-03741-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216243178&doi=10.1186%2fs12866-024-03741-3&partnerID=40&md5=85c229869fcd479b16e39e6460ac4e55,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,1,NA,NA,NA,JAN 17,1471-2180,WOS:001400107900001,NA,NA,NA,NA,NA,NA,NA,NA,"unknown, unknown","1009, 5163"
1012,Scopus,Article,"da Costa, L.M. and Davitt, A. and Volpato, G. and de Mendonça, G.C. and Panosso, A.R. and La Scala, N.",2025,A comparative analysis of GHG inventories and ecosystems carbon absorption in Brazil,Science of the Total Environment,958,177932,"The global temperature is increasing mainly due to greenhouse gases (GHG) emissions in the last century. While the overall global increase in emissions is due to fossil fuel operations, Brazil has as its primary emitter from forestry and land use, and agriculture sectors. Though these sectors can emit, both can play an important role in mitigating global warming, due to the natural ecosystem and agroecosystem capability of carbon absorption. We aimed to understand the impact of carbon removal on Brazil's national inventory. For that, we compared two GHG inventories - Climate TRACE and SEEG - and explored how precipitation and photosynthesis impact their estimates to determine how the inventories capture seasonal variability. First, we compared the GHG emissions and removals estimates for each sector between both inventories, especially the Forestry and Land Use sector. Moreover, we performed correlation analysis and linear regressions between them, at a biome and pixel level between 2015 and 2022. Our results show that differences between the GHG inventories could reach 1 Giga ton of CO2 eq in some years, mainly due to the forestry sector. Furthermore, in some ecosystems, such as Caatinga, precipitation, and photosynthesis were increasing between 2015 and 2022, thus boosting the removal capacity in this biome. In 2022, the Caatinga GHG removal represented almost 50 % of the total removals in Brazil. A higher removal capacity could significantly contribute to achieving net-zero GHG emissions, especially if deforestation and other anthropogenic disturbances to ecosystems are halted. Our findings suggest that the Climate TRACE inventory captures more seasonal variability than SEEG. This outcome highlights the open issue of carbon removal estimates and also that seasonal aspects could be incorporated to improve our understanding. © 2024 Elsevier B.V.",Carbon removals and Climate change and GHG inventory and Greenhouse gases and Brazil and Carbon sequestration and Low emission and aluminum and chlorophyll a and fossil fuel and nitrogen fertilizer and petrochemical agent and carbon and Caatinga and Carbon removal and Comparative analyzes and Ecosystem carbons and Gas removal and Greenhouse gas emissions and Greenhouse gas inventory and Greenhouses gas and Removal capacity and Seasonal variability and absorption and anthropogenic effect and carbon emission and climate change and comparative study and deforestation and emission inventory and global warming and greenhouse gas and absorption and agroecosystem and Article and artificial intelligence and Brazil and carbon absorption and climate change and coal mining and ecosystem and greenhouse effect and greenhouse gas and machine learning and photosynthesis and precipitation and scrub and soil management and solid waste management and waste water management and agriculture and article and biome and carbon dioxide equivalent and climate change and correlation analysis and deforestation and forestry and fossil fuel and greenhouse gas emission and human impact (environment) and land use and linear regression analysis and nonhuman and pharmaceutics and temperature and Greenhouse gas emissions,10.1016/j.scitotenv.2024.177932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211215300&doi=10.1016%2fj.scitotenv.2024.177932&partnerID=40&md5=a726b9f62ceddb8a3dadbd1dac959708,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,1012
1013,Scopus,Article,"Kurnianto, A.S. and Dewi, N. and Sulistyowati, H. and Siddiq, A.M. and Ratnasari, T. and Khowatini, H. and Yulianto, R. and Firdaus, A.S.",2025,"Sustaining Biodiversity and Ecological Roles in a Heritage Landscape: The Role of Coffee Agroforestry in Kluncing, Indonesia",HAYATI Journal of Biosciences,32,NA,"This study investigates the role of coffee agroforestry in sustaining biodiversity and ecosystem functions in Kluncing, Ijen, Indonesia. By quantifying bird, butterfly, and coffee insect diversity using the Shannon-Wiener index, it evaluates ecological dynamics and their implications for sustainable land management. Bird communities demonstrated the highest diversity (2.911), indicating ecosystem stability, while butterflies (2.481) and coffee insects (1.841) exhibited lower diversity, reflecting habitat and resource limitations. Trophic network modeling using NetworkX identified keystone species like Collocalia linchi (21.9% relative abundance) among birds and the Formicidae family (29.8% relative abundance) among coffee insects, emphasizing their critical roles in ecosystem balance. Canonical Correspondence Analysis (CCA) highlighted the influence of environmental factors on species distribution. Species such as Ariadne ariadne and Delias belisama were sensitive to humidity and temperature, while Collocalia linchi favored areas with higher light intensity. The findings underscore the importance of tailored management practices to address species-specific responses to microclimatic variations. Sustainable agroforestry management is vital for preserving biodiversity, maintaining ecosystem stability, and ensuring agricultural productivity. This study also highlights challenges posed by habitat degradation and climate change, emphasizing the need for adaptive strategies to safeguard this unique agroforestry landscape. © 2025@ author(s).",Agroforestry and Birds and Butterfly and Cofee and Insects and Kluncing,10.4308/hjb.32.2.459-471,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215976654&doi=10.4308%2fhjb.32.2.459-471&partnerID=40&md5=886eb8aa97812270e289c3280392ffae,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,2,459,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,1013
1014,Scopus,Review,"Bossy, T. and Ciais, P. and Renaudineau, S. and Wan, L. and Ygorra, B. and Adam, E. and Barbier, N. and Bauters, M. and Delbart, N. and Frappart, F. and Gara, T.W. and Hamunyela, E. and Ifo, S.A. and Jaffrain, G. and Maisongrande, P. and Mugabowindekwe, M. and Mugiraneza, T. and Normandin, C. and Obame, C.V. and Peaucelle, M. and Pinet, C. and Ploton, P. and Sagang, L.B. and Schwartz, M. and Sollier, V. and Sonké, B. and Tresson, P. and De Truchis, A. and Vo Quang, A. and Wigneron, J.-P.",2025,State of the art and for remote sensing monitoring of carbon dynamics in African tropical forests,"Frontiers in Remote Sensing, FRONTIERS IN REMOTE SENSING",6,1532280,"African tropical forests play a crucial role in global carbon dynamics, biodiversity conservation, and climate regulation, yet monitoring their structure, diversity, carbon stocks and changes remains challenging. Remote sensing techniques, including multi-spectral data, lidar-based canopy height and vertical structure detection, and radar interferometry, have significantly improved our ability to map forest composition, estimate height and biomass, and detect degradation and deforestation features at a finer scale. Machine learning approaches further enhance these capabilities by integrating multiple data sources to produce improved maps of forest attributes and track changes over time. Despite these advancements, uncertainties remain due to limited ground-truth validation, and the structural complexity and large spatial heterogeneity of African forests. Future developments in remote sensing should examine how multi-sensor integration of high-resolution data from instruments such as Planet, Tandem-X, SPOT and improved AI methods can refine forest composition, carbon storage and function maps, enhance large-scale monitoring of tree height and biomass dynamics, and improve forest degradation and deforestation detection down to tree level. These advancements will be essential for supporting science-based decision-making in forest conservation and climate mitigation. Copyright © 2025 Bossy, Ciais, Renaudineau, Wan, Ygorra, Adam, Barbier, Bauters, Delbart, Frappart, Gara, Hamunyela, Ifo, Jaffrain, Maisongrande, Mugabowindekwe, Mugiraneza, Normandin, Obame, Peaucelle, Pinet, Ploton, Sagang, Schwartz, Sollier, Sonké, Tresson, De Truchis, Vo Quang and Wigneron.",biomass and canopy height and carbon and Congo basin and deep learning and forest degradation and forest typology and remote sensing-,10.3389/frsen.2025.1532280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001440684&doi=10.3389%2ffrsen.2025.1532280&partnerID=40&md5=f65f49ba09d9dcfb3f1567f01a85832e,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,NA,NA,NA,NA,MAR 17,2673-6187,WOS:001455025900001,NA,NA,NA,NA,NA,NA,NA,NA,"unknown, unknown","1014, 3981"
1015,Scopus,Article,"Nardy, J.R. and Duden, A. and Martensen, A.C. and Henkens, K. and Verweij, P. and Verburg, R.",2025,"The role of farmer's resources, capabilities and perceptions on reforestation and forest cover in the Atlantic Forest",Land Use Policy,154,107559,"In the context of the UN Decade of Ecosystem Restoration (2021–2030), insights are urgently needed on how to engage land users in reforestation efforts. This study examined the resources, capabilities and perspectives of land users, i.e., farmers, in relation to reforestation in the Brazilian Atlantic Forest (BAF), an ecoregion that hosts 70 % of the Brazilian population while is also a biodiversity hotspot with only 28 % of native vegetation cover remaining. 78 % of the territory of this ecoregion is occupied by rural private properties, indicating the importance of on-farm forest restoration. We studied the pathways of how variation in forest cover can be explained by farmers’ perceptions of incentives, like pro-nature attitudes, and farmers’ resources and capabilities to engage in reforestation. Data were collected through a quantitative survey involving 257 farmers and their properties and forest cover derived from geo-spatial imagery. Using multiple regression models that underlie a path analysis, we found small and non-significant effects of both positive and negative perceptions of farmers on forest cover, but in combination with farmers’ resources and capabilities, these models could explain up to 36 % of variation on forest cover. The capability “slope”, as a proxy for production suitability, and the resource “farm size”, as a proxy for available capital, were always highly positively associated with forest cover in the models excluding and including farmers’ perceptions. These results highlight that reforestation decision making of farmers is complex and should be assessed accordingly, since it does not only regard the perceptions of the forest itself, but also the available resources and capabilities for restoration. Forest conservation and restoration initiatives can benefit from considering the variables assessed in this study; resources, capabilities, and perceptions of incentives and pro-nature motivation, while potential solutions, such as positive policy mechanisms, need to consider the heterogeneity of land and different types of landowners. © 2025 The Authors",Capabilities and Forest cover and Path analysis and Reforestation efforts and Resources and Social perceptions and Atlantic Forest and Brazil and decision making and environmental restoration and forest cover and path analysis and perception and reforestation and smallholder,10.1016/j.landusepol.2025.107559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002286379&doi=10.1016%2fj.landusepol.2025.107559&partnerID=40&md5=2c3f267314ece0d2d9ae971f2b7d0e68,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,1015
1021,Scopus,Article,"Pinheiro, F.M. and Nair, P.K.R. and Nair, V.D. and Tonucci, R.G. and Venturin, R.P.",2025,Sources of soil organic carbon under Eucalyptus silvopastures and other land-use systems in Brazilian Oxisols,"Geoderma Regional, GEODERMA REGIONAL",40,e00907,"Silvopastoral systems (SPS) incorporating non-native tree species such as Eucalyptus are increasingly being adopted in the Cerrado region of Brazil. The climate-change mitigation potential of the practice, although hypothesized, has not been assessed vigorously. The objective of this research was to measure the extent of SOC accumulation under SPS involving C3 and C4 plants and other prevalent land-use systems in an Oxisol-dominated location in Minas Gerais, Brazil. We determined the overall δ13C in three soil fraction-size groups within six land-use systems. These systems consisted of 8-year-old planted forests, native forest, managed pastures, and three variations of 8-year-old SPS with diverse tree-planting layouts. In the SPS and planted forest treatments, the tree species was Eucalyptus hybrid, and Urochloa decumbens was the grass species in the SPS and pasture treatments. For each treatment, soil samples were collected at depths of 0–10, 10–30, 30–60, and 60–100 cm. These samples were fractionated into three size classes (2000-250 μm, 250-53 μm, and <53 μm) and analyzed for δ13C. The native forest had higher C3 contribution in the topsoil layers. The highest C3 derived SOC stock up to 1 m depth was in the pasture (137 Mg ha-1), and the lowest in the forest (74 Mg ha-1). The pasture also had the highest C4 derived SOC stock and the forest the lowest, but not significantly. The SPS had intermediate values. We infer that the study site had a mixed vegetation in the past, and after the conversion of the land to planted forest/SPS/pasture, the “native” SOC stock could be maintained better in a well-managed pasture than in a degraded native forest. The higher C3-derived SOC stock in the pasture treatment suggests that managed SPS could help retain more soil C in a stable form than in degraded forests. © 2024 Elsevier B.V.",Agroecosystems and Agroforestry and Carbon sequestration and Climate change mitigation,10.1016/j.geodrs.2024.e00907,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211594268&doi=10.1016%2fj.geodrs.2024.e00907&partnerID=40&md5=bc49dd816a742b8caf3f9a9fd1b99b05,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,NA,NA,NA,NA,MAR,2352-0094,WOS:001388726200001,DEC 2024,NA,NA,NA,NA,NA,NA,NA,"unknown, unknown","1021, 5397"
1023,Scopus,Article,"Fiorillo, B.F. and Piatti, L. and Martins, M.",2025,Effects of Vegetation Density on the Diversity of Lizards in an Area of the Brazilian Cerrado,Biotropica,57,e70022,"The Cerrado is a highly threatened biome that harbors a great portion of Brazilian biodiversity, including many endemic species. Such richness may reflect its environmental heterogeneity, which includes different vegetation types (from grasslands to forests). Several endemic species in the Cerrado are strongly associated with open vegetation types. Recent studies have shown that woody encroachment can negatively impact several components of biodiversity. In the present study, we provide information on variation in lizard diversity across different vegetation types in a protected area located in the southern portion of the Cerrado and evaluated the effect of vegetation density on lizard taxonomic, functional, and phylogenetic diversity. We predicted that the three aspects of lizard diversity would be negatively affected by vegetation density and that Beta diversity would vary significantly across the vegetation gradient. We confirmed nearly all of our predictions, except for functional diversity, which, contrary to our expectations, was positively influenced by vegetation density. We also found that Beta diversity indices based on both species composition/abundance and phylogenetic features of communities experience a significant turnover across the vegetation density gradient. This study greatly strengthens previous studies that suggest a negative impact of vegetation density (and, consequently, woody encroachment) on lizard diversity. Therefore, managers of protected areas in the Cerrado should consider the use of strategies to avoid woody encroachment, like fire management with prescribed fires. © 2025 Association for Tropical Biology and Conservation.",community and conservation and ecology and gradient and landscape and Brazil and community composition and conservation planning and endemic species and fire management and landscape ecology and lizard and protected area and vegetation dynamics and vegetation type,10.1111/btp.70022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002230173&doi=10.1111%2fbtp.70022&partnerID=40&md5=e2ae61467878051b6bafb53c2bf2b52e,Export Date: 25 April 2025; Cited By: 0,NA,JOUR,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,1023
