"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id","inclusion","labels1","labels2","labels3","exclusion_reasons1","exclusion_reasons2"
"rayyan-219980872","Dissimilar forests along the Rio Doce watershed call for multiple restoration references to avoid biotic homogenization",2024,NA,NA,"Science of the Total Environment","",930,NA,"","Ramos, L. and Negreiros, D. and Goulart, F.F. and Figueiredo, J.C.G. and Kenedy-Siqueira, W. and Toma, T.S.P. and Justino, W.D.S. and Maia, R.A. and de Oliveira, J.T. and Oki, Y. and Barbosa, M. and Aguilar, R. and dos Santos, R.M. and Dias, H.M. and Nunes, Y.R.F. and Fernandes, G.W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191897376&doi=10.1016%2fj.scitotenv.2024.172720&partnerID=40&md5=859a50a98952eb8d2c40d76e476a3578","English",NA,"","An environmental disaster caused by the rupture of a mining tailings dam has impacted a large area of the Rio Doce watershed in the Brazilian Atlantic Forest, resulting in unprecedented damage at spatial and temporal scales. The Atlantic Forest is one of the world's most important biodiversity hotspots. A long history of land use conversion has resulted in a highly fragmented landscape. Despite numerous restoration initiatives, these efforts have often biased criteria and use limited species assemblages. We conducted a comprehensive synthesis of the plant community in riparian forests along the Rio Doce watershed. Our work detailed vegetation composition (tree and sapling strata) and examined its relationship with edaphic and landscape factors, aiming to inform restoration projects with scientifically robust knowledge. A total of 4906 individuals from the tree strata and 4565 individuals from the sapling strata were recorded, representing a total of 1192 species from 75 families. Only 0.8% of the tree species and 0.5% of the sapling species occurred in all sampled sectors, with over 84% of the species occurring in a single watershed sector for both strata. We observed a high species heterogeneity modulated by turnover (92.3% in the tree, and 92.7% in the sapling strata) among sites. Overall, our research revealed a gradient of soil fertility influencing species composition across different strata. Additionally, we discovered that preserved landscapes had a positive impact on species diversity within both strata. The species exclusivity in the sampled sites and the high turnover rate imply the need to consider multiple reference ecosystems when restoring the watershed to reduce the risk of biotic homogenization. Finally, the reference ecosystems defined here serve as a basis for the selection of locally particular species in the implementation of restoration projects that aim to improve biodiversity, ecosystem services, and water security. © 2024 Elsevier B.V.",NA,"10.1016/j.scitotenv.2024.172720","Ecological restoration;Mining disaster;Reference ecosystems;Samarco dam breach;Soil-vegetation relationship;Biodiversity;Brazil;Conservation of Natural Resources;Environmental Monitoring;Environmental Restoration and Remediation;Forests;Rivers;Trees;Atlantic Forest;Brazil;Doce River;Biodiversity;Disaster prevention;Ecosystems;Forestry;Land use;Mining;Restoration;Vegetation;Watersheds;Biotic homogenizations;Dam breach;Ecological restoration;Environmental disasters;Mining disaster;Reference ecosystem;Restoration project;Samarco dam breach;Soil-vegetation;Soil-vegetation relationship;biodiversity;disaster;ecosystem service;forest soil;plant community;restoration ecology;riparian forest;species diversity;tree;vegetation structure;Albizia polycephala;Anadenanthera colubrina;Article;biodiversity;biotic homogenization;Brazilian;ecosystem restoration;ecosystem service;environmental factor;Fabaceae;forest;Guarea macrophylla;land use;landscape;Lauraceae;Maclura tinctoria;mining;mining disaster;Myrtaceae;nonhuman;pH;plant;plant community;remote sensing;Rio doce watershed;riparian ecosystem;Rubiaceae;sapling;satellite imagery;soil fertility;species composition;species diversity;tree;turnover rate;vegetation;watershed;biodiversity;Brazil;environmental monitoring;environmental protection;procedures;river;Disasters",NA,NA,"Included","state of ecosystem",NA,NA,NA,NA
"rayyan-219980873","Climate change-induced shifts in the ecological niches of Parkia biglobosa (Jacq.) and Vitellaria paradoxa CF Gaertn, two species of agroforestry parks in Benin, West Africa",2025,NA,NA,"Trees, Forests and People","",20,NA,"","Yabi, C.C. and Ayena, J.I.K. and Biaou, S. and Adomou, S. and Houehanou, T.D. and Gouwakinnou, G.N.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000097502&doi=10.1016%2fj.tfp.2025.100830&partnerID=40&md5=c04b92e03cc6b726d48bdc8a7dff21f7","English",NA,"","Understanding the effects of climate change on species distribution patterns is fundamental to biogeography and evolutionary ecology, especiallyfor socio-economically important agroforestry species such as Parkia biglobosa R.Br. ex Benth and Vitellaria paradoxa CF Gaertn. However, gaps remain regarding the evolution of ecological niches of these widespread species. This study examines the effects of climate change on P. biglobosa and V. paradoxa, two key species of agroforestry parklands in Benin. By integrating intraspecific variation into niche modeling, three homogeneous subgroups (North, Center, and South) were identified and analyzed under current and future climate conditions. Maximum Entropy Modeling (MaxEnt), was used, chosen for its predictive power and flexibility in correcting for data bias. Climate projections were based on common socio-economic scenarios (SSP2-4.5 and SSP5-8.5), representing a moderate mitigation scenario and a high emissions scenario, respectively. The results showed significant climate change effects across subgroups for both species, mediated by temperature and humidity. Under the SSP2-4.5 scenario, the northern subgroup of P. biglobosa exhibited habitat shifts towards the central and southern subgroup regions, while the central and southern subgroups showed predictive habitat loss. For V. paradoxa, this scenario predicted significant habitat loss for the northern and central subgroups, while the southern subgroup demonstrated habitat expansion along altitudinal gradients. The more severe SSP-5–8.5 scenario predicted extensive habitat loss for both species. The Sudano-Guinean and Guineo-Congo zones remain climatically suitable for both species under future projections. The most pronounced interspecific niche overlap occurred between the northern and southern subgroups, indicating considerable ecological similarity. These results highlight the need for climate-adaptive management strategies in agroforestry systems with particular emphasis on subgroups facing imminent habitat loss. Future research directions should explore adaptive management approaches while maintaining essential ecosystem services and supporting local livelihoods. © 2025 The Author(s)",NA,"10.1016/j.tfp.2025.100830","Adaptative management;Agroforestry species;Benin;Environmental change;Niche modelling;Benin [West Africa];adaptive management;agroforestry;climate change;deciduous tree;environmental change;intraspecific variation;niche",NA,NA,"Excluded",NA,NA,NA,"threat to resilience",NA
"rayyan-219980874","An analysis of spatiotemporal changes and local governance toward the management of geographically isolated wetlands (Paulista Peripheral Depression, Brazil)",2024,NA,NA,"Wetlands Ecology and Management","",32,6,"907-926","Junqueira, D.A. and Conciani, D.E. and Furlan, L.M. and Rizzieri, R.M. and Rosolen, V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202215509&doi=10.1007%2fs11273-024-10008-1&partnerID=40&md5=62d0465ddaf95a8238c672ff46225642","English",NA,"","The large diversity of ecosystem services provided by natural wetlands has been underestimated by decision-making authorities in Brazil, posing a threat to sustainable development. The intensive land use practices and increased water usage in the country are the main forces driving the degradation and depletion of small wetlands. The aim of this study was to assess the spatiotemporal changes in geographically isolated wetlands (GIWs) in the Paulista Peripheral Depression in São Paulo State, considering the intensification of land use and land cover (LULC) and the role of local governance in protecting water resources in these environments. Remote sensing imagery and climate data were utilized to analyze the spatial‒temporal changes in GIWs. The effectiveness of local governance policies in addressing wetland protection concerns was also evaluated. The findings indicate that the intensification of LULC has negative impacts on GIWs, leading to their depletion or degradation. Additionally, GIWs are outside the scope of regulatory protection at the federal, state, and local levels. This lack of protection contributes to the vulnerability of wetland resources, poses risks to local ecological benefits, and exacerbates social-environmental issues such as water scarcity. © The Author(s), under exclusive licence to Springer Nature B.V. 2024.",NA,"10.1007/s11273-024-10008-1","Environmental policies;Isolated wetland;LULC;Territorial planning;Brazil;climate change;environmental policy;land cover;land use change;territorial planning;vulnerability;wetland",NA,NA,"Included","general land use management",NA,NA,NA,NA
"rayyan-219980875","Land use and cover change and water quality of tropical wetlands under anthropogenic pressure: A case study of marshlands in the Kaziba chiefdom in South-Kivu province, Eastern DR Congo",2023,NA,NA,"Regional Studies in Marine Science","",64,NA,"","Mirenge, Z.Z. and Chuma, G.B. and Zamukulu, P.M. and Mukungilwa, M. and Muvundja, F.A. and Karume, K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163148699&doi=10.1016%2fj.rsma.2023.103050&partnerID=40&md5=2c723ba374700afe1f804f94f7cabcfe","English",NA,"","Wetlands provide goods and ecosystem services to communities and play an important socio-economical role during dry seasons and/or droughts. However their role in nutrient stocking is poorly documented. These ecosystems are currently under anthropogenic pressure for the last decades. This study (i) assessed the land use and cover changes in and around wetlands located in the eastern Democratic Republic of Congo (DRC), (ii) characterized their water quality, and (iii) assessed the effect of those changes on the nutrients retention capacity (NRC). Based on a case study in three wetlands namely Luzinzi, Nkombo, and Kalamba, all located in the Walungu territory. Supervised classification based on Support Vector Machine (SVM) of very high spatial resolution satellite (of 1985, 2015, and 2021) was used to assess land use and land cover change. Water samples were taken (in 2018 and 2019) for characterization at the inlet and outlet of each marshland, and the nutrients retention capacity (NRC) was assessed. Results show that these wetlands have undergone significant changes in terms of land use and occupation, with previously woodland and herbaceous areas becoming bare soil, cultivated lands, and built-up areas, respectively. The ability of the marshes to purify the water and its quality is not affected by all these changes. The study shows that the water quality analysis of the streams draining the marshes was rather good, and a very good value was obtained for salt (Sodium Absorption Ratio: SAR). However, these marshes have a very low (if any) nutrient retention capacity. Future interventions should alleviate human pressure on these ecosystems while focusing efforts on ecological function maintenance or restoration. © 2023 Elsevier B.V.",NA,"10.1016/j.rsma.2023.103050","Ecosystem services;LULC;Marshland;Nutrient retention capacity (NRC);South Kivu",NA,NA,"Included","general land use management",NA,NA,NA,NA
"rayyan-219980876","The diversity and traditional use of home garden plants near Kerinci Seblat National Park, Indonesia",2024,NA,NA,"Biodiversitas","",25,7,"3284-3299","Suwardi, A.B. and Navia, Z.I. and Mubarak, A. and Rahmat, R. and Christy, P. and Wibowo, S.G. and Irawan, H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202573806&doi=10.13057%2fbiodiv%2fd250750&partnerID=40&md5=5d7b6bd7f1838b9ff2075b7a7e75c036","English",NA,"","Suwardi AB, Navia ZI, Mubarak A, Rahmat R, Cristy P, Wibowo SG, Irawan H. 2024. The diversity and traditional use of home garden plants near Kerinci Seblat National Park, Indonesia. Biodiversitas 25: 3284-3299. Home gardens are traditional agroforestry systems that improve plant diversity and ecosystem services while also having a direct and beneficial effect on human well-being. Each plant species in a home garden provides a variety of ecosystem services, which are linked to specific ecological functions and social drives. Although home gardens are biodiversity hotspots and have recently been identified as essential to tropical biodiversit y conservation, the benefits of ecosystem services offered by home gardens are frequently undervalued. This study aims to analyze the diversity, usage, and traditional knowledge of home garden plants among the local communities living near Kerinci Seblat Nati onal Park, Indonesia. This study was carried out in four villages from two districts of Bengkulu Province, Indonesia, i.e. Lebong and Rejang Lebong. Field surveys, plant collections, and interviews with local communities were used in this study. Interviews were conducted with 120 informants (30 in each village) selected at random. A total of 218 plant species belonging to 67 families associated with 12 use categories were recorded in the study area. Capsicum frutescens, Musa x paradisiaca, and Mangifera indica are frequently discovered in home gardens. The most diverse categories of plant use in home gardens encompass food, medicine, and ornament, utilizing various parts such as rhizomes, leaves, flowers, and fruits. Home gardens, with their diverse plant species, are considered to have a significant role in household livelihoods, protecting plant genetic resources, and biodiversity conservation. © 2024, Society for Indonesian Biodiversity. All rights reserved.",NA,"10.13057/biodiv/d250750","Biodiversity;ecosystem service;home garden;Kerinci Seblat National Park",NA,NA,"Included","agroforestry",NA,NA,NA,NA
"rayyan-219980877","How do replanted mangroves affect phosphorus dynamics in their soils?",2024,NA,NA,"Journal of Environmental Management","",366,NA,"","Silva, G.R.D. and Lázaro, M.L. and Queiroz, H.M. and Ferreira, A.D. and Díaz Ramos, R.A. and Machado, W.T.V. and Otero, X.L. and Ferreira, T.O. and Nóbrega, G.N.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199030230&doi=10.1016%2fj.jenvman.2024.121915&partnerID=40&md5=c2f76978e65412077137702a8364b473","English",NA,"","Phosphorus is a limiting element for the productivity of mangroves, which in turn are important ecosystems in regulating nutrients cycle and climate change by sequestering carbon (C). Despite this, there is an intense process of degradation in these environments. In addition to providing socio-environmental services, mangrove replanting can also alter the dynamics of nutrients in soils. Therefore, this study aims to understand the changes in soil phosphorus (P) fractions after a mangrove restoration. Soil samples from an unvegetated area (NV), a mature mangrove (R) and 7 and 9 year old replanted mangroves at SE-Brazil (APA Guapi-mirim, Rio de Janeiro state) were collected and analyzed to characterize the redox conditions (Eh), pH, and iron (Fe) fractionation, Total Organic Carbon (TOC) contents and P fractionation (exchangeable P; P associated with reducible Fe and Mn oxyhydroxides; associated with Al silicates and hydroxides; associated with humic acids; associated with Ca and Mg; associated with humin). The results indicate an increase in TOC as the age of the mangrove restoration increases (from 8.6 to 17.9%). The pH values were significantly lower, reaching very acidic values, associated with an increase in Eh. Both parameters also showed strong seasonal variation, with a drop in Eh during the wet period (from 165% to −46%) and an increase in pH in the same period (from 6.0 to 6.7). Regarding P fractionation, the main P pool was organic P forms, which showed the highest concentrations in all studied sites. Unvegetated areas showed higher organic P forms (NV: 108.8 μg g−1) than vegetated areas (M7: 55.7 μg g−1, M9: 83.6 μg g−1, R: 87.3 μg g−1). Vegetated sites also showed lower levels of the PEx, PFeMn and Papatite fractions (total forest mean: 2.4 μg g−1, 5.8 μg g−1, 3.0 μg g−1, respectively). Besides no clear trend on P fractionation through seasons and forest age, pseudo-total P increased following the forest recovery (e.g. M7<M9<R), showing the re-establishment of temporary nutrient retention capacity with the replanting of the mangrove. Mangroves replanting affected P dynamics, promoting an accumulation of P in soils, also indicated the reestablishment of ecosystem services, such as nutrient cycling. Seasonal variations influenced the ability of P retention and release for adjacent areas. Our findings indicate that mangrove restoration affected the key parameters (pH, Eh, TOC) which controlled soil processes (redox reactions, organic matter degradation), impacting the cycles of Fe, C, and P cycles. Therefore, crucial soil ecosystem services (e.g., nutrient regulation and C storage) were improved by replanting mangroves. However, seasonal trends on nutrient dynamics still need further studies to better understand soil processes, especially in replanting environments. © 2024 Elsevier Ltd",NA,"10.1016/j.jenvman.2024.121915","Blue carbon ecosystems;Ecosystem services;Hydromorphic soils;Mangrove restoration;Carbon;Ecosystem;Phosphorus;Soil;Wetlands;Brazil;Rio de Janeiro [Brazil];Aluminum compounds;Biogeochemistry;Climate change;Forestry;Iron compounds;Manganese compounds;Nutrients;Organic carbon;Phosphorus;Plants (botany);Restoration;Soils;calcium;humic acid;hydroxide;iron;manganese;organic matter;phosphorus;silicate;carbon;phosphorus;Blue carbon ecosystem;Ecosystem services;Hydromorphic soils;Mangrove restoration;Nutrients cycle;P fractionation;Phosphorus dynamics;Seasonal variation;Soil process;Total Organic Carbon;climate change;ecosystem service;fractionation;mangrove;nutrient dynamics;phosphorus;redox conditions;restoration ecology;soil ecosystem;Article;Brazil;carbon sequestration;climate change;controlled study;degradation;dynamics;ecosystem;forest;fractionation;mangrove;nonhuman;nutrient cycling;nutrient dynamics;oxidation reduction reaction;pH;seasonal variation;soil property;soil treatment;total organic carbon;chemistry;ecosystem;soil;wetland;Ecosystems",NA,NA,"Included","reforestation",NA,NA,NA,NA
"rayyan-219980878","Visual soil assessment as an early indicator of soil quality in the caatinga dry tropical forest under varying degrees of disturbance in the Brazilian semiarid region",2025,NA,NA,"Science of the Total Environment","",967,NA,"","de Oliveira Lima, W.W. and Francisco da Silva, E. and Ferreira de Freitas, D. and Cruz Portela, J. and da Silva Rêgo, L.G. and da Costa Leite Coelho, D. and de Almeida Ferreira, E. and Fernandes Gondim, J.E. and de Sousa Antunes, L.F. and Rodrigues de Oliveira, F.É. and de Almeida Araújo, Y. and Lima da Cunha, M. and Carantino Lucena Moreira, R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217732695&doi=10.1016%2fj.scitotenv.2025.178846&partnerID=40&md5=98eef220c73ef61fcd73db91ba8ed10f","English",NA,"","Species diversity in the Caatinga Dry Forest is increasingly threatened by anthropogenic disturbances that degrade soil quality, triggering cascading effects on essential ecosystem services. Visual Soil Assessment (VSA) offers a cost-effective and rapid diagnostic tool to assess soil quality under different disturbance levels. This study analyzed VSA as an early indicator of soil quality in the Caatinga Dry Tropical Forest and evaluated its ability to distinguish forest conditions compared to laboratory analyses (physical, chemical, and organic attributes). The research was conducted in Apodi, Rio Grande do Norte, Brazil, across four forest areas (NF1, NF2, NF3, and NF4) with varying preservation levels but similar limestone parent material. Morphological, visual, and laboratory soil analyses were performed. VSA proved to be practical and sensitive in detecting changes in native forest Cambisols under semiarid conditions. Key VSA indicators included earthworm count, absence of erosion, structure, porosity, compacted layer, and vegetation cover, effectively differentiating forest disturbance levels. The preservation classification ranked NF1 (lowest preservation) as moderate, NF2 (intermediate preservation) as good, and NF3 and NF4 (highest preservation) as very good. Multivariate analysis revealed that attributes related to total soil organic matter and its fractions in the surface layer (0–0.05 m) were the most sensitive to forest preservation levels. These attributes, along with nutrient availability (notably base cations) and soil pH influenced by limestone parent material, were higher in NF3 and NF4. Laboratory-based soil quality indices aligned with VSA results, confirming its reliability as an early diagnostic tool. VSA provides a valuable, cost-effective approach for monitoring and managing soil quality in the Caatinga Dry Forest, offering insights comparable to more resource-intensive laboratory analyses. © 2025 Elsevier B.V.",NA,"10.1016/j.scitotenv.2025.178846","Native forest;Nutrient availability;Organic matter;Soil structure;Visual soil quality indicators;Brazil;Environmental Monitoring;Forests;Soil;Tropical Climate;Brazil;Brazil;Rio Grande do Norte;calcium acetate;hexametaphosphate sodium;organic carbon;particulate organic matter;Caatinga;Native forests;Nutrient availability;Organics;Soil assessment;Soil quality indicators;Soil structure;Soil-structure;Soils qualities;Visual soil quality indicator;anthropogenic effect;caatinga;disturbance;dry forest;ecosystem service;nutrient availability;reliability analysis;semiarid region;soil analysis;soil degradation;soil management;soil organic matter;soil quality;soil structure;tropical forest;analytic method;Article;atomic absorption spectrometry;Brazil;centrifugation;data source;nonhuman;physical chemistry;principal component analysis;soil analysis;soil quality;statistical analysis;tropical dry forest;vegetation;Brazil;chemistry;environmental monitoring;forest;procedures;soil;tropic climate;Soil quality",NA,NA,"Included","state of ecosystem",NA,NA,NA,NA
"rayyan-219980879","Rubber-Based Agroforestry Systems Associated with Food Crops: A Solution for Sustainable Rubber and Food Production?",2024,NA,NA,"Agriculture (Switzerland)","",14,7,"","Cahyo, A.N. and Dong, Y. and Nugraha, Y. and Penot, E. and Hairmansis, A. and Purwestri, Y.A. and Akbar, A. and Asywadi, H. and Ardika, R. and Prasetyo, N.E. and Agustina, D.S. and Alam, T. and Oktavia, F. and Subandiyah, S. and Montoro, P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199663991&doi=10.3390%2fagriculture14071038&partnerID=40&md5=7b6e0a0d112dc462583091c7f3deb9b8","English",NA,"","Agroforestry is often seen as a sustainable land-use system for agricultural production providing ecosystem services. Intercropping with food crops leads to equal or higher productivity than monoculture and results in food production for industry and subsistence. Low rubber price and low labor productivity in smallholdings have led to a dramatic conversion of rubber plantations to more profitable crops. The literature analysis performed in this paper aimed at better understanding the ins and outs that could make rubber-based agroforestry more attractive for farmers. A comprehensive search of references was conducted in March 2023 using several international databases and search engines. A Zotero library was set up consisting of 415 scientific references. Each reference was carefully read and tagged in several categories: cropping system, country, main tree species, intercrop type, intercrop product, level of product use, discipline of the study, research topic, and intercrop species. Of the 232 journal articles, 141 studies were carried out on rubber agroforestry. Since 2011, the number of studies per year has increased. Studies on rubber-based agroforestry systems are performed in most rubber-producing countries, in particular in Indonesia, Thailand, China, and Brazil. These studies focus more or less equally on perennials (forest species and fruit trees), annual intercrops, and mixed plantations. Of the 47 annual crops associated with rubber in the literature, 20 studies dealt with rice, maize, banana, and cassava. Agronomy is the main discipline in the literature followed by socio-economy and then ecology. Only four papers are devoted to plant physiology and breeding. The Discussion Section has attempted to analyze the evolution of rubber agroforestry research, progress in the selection of food crop varieties adapted to agroforestry systems, and to draw some recommendations for rubber-based agroforestry systems associated with food crops. © 2024 by the authors.",NA,"10.3390/agriculture14071038","annual crop;fruit tree;industrial crop;intercropping;plantation",NA,NA,"Included","ecosystem services",NA,NA,NA,NA
"rayyan-219980880","How Rural Communities Relate to Nature in Sub-Saharan Regions: Perception of Ecosystem Services Provided by Wetlands in South-Kivu",2024,NA,NA,"Sustainability (Switzerland)","",16,16,"","Géant, C.B. and Wellens, J. and Gustave, M.N. and Schmitz, S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202597339&doi=10.3390%2fsu16167073&partnerID=40&md5=99074ea242bd23d19648ef9edb1b5e30","English",NA,"","Research on ecosystem services (ES) has become central to landscape planning, framing the relationship between people and nature. In Sub-Saharan regions, local communities rely heavily on wetlands for various ES. For the first time, we assessed perceptions of ES provided by these wetlands, focusing on marshes, peatlands, swamps, and inland valleys/floodplains in eastern DR Congo. Fieldwork combined with a survey of 510 households, using both open-ended and 35 direct questions, evaluated perceptions of wetland ecosystem services (WESs). The most frequently reported WES were provisioning (38%) and regulating (24%), while supporting (22%) and cultural (16%) were less mentioned. These perceptions varied across wetland types and among communities based on gender, religion, seniority in wetland use, land tenure, and educational level. Rural communities had a deep relationship with nature, shaped by cultural, economic, and geographical factors. Wetlands are viewed positively as sources of goods but also negatively as sources of diseases. A structural equation model (SEM) helped in identifying four latent variables—livelihood, knowledge, personal, and geographical factors—driving WES perceptions. These findings are relevant for developing wetland management policies and suggest including community engagement and collaboration in wetland restoration and regulatory frameworks. © 2024 by the authors.",NA,"10.3390/su16167073","community perception;D.R. Congo;household survey;structural equation model (SEM);sustainable development;wetland ecosystem services (WES);wetland types;Democratic Republic Congo;Kivu;ecosystem service;household survey;perception;rural area;scanning electron microscopy;sustainable development;wetland management",NA,NA,"Included","ecosystem services",NA,NA,NA,NA
"rayyan-219980881","Using a Novel Green Index to Support Ecosystem Services in a Megacity",2023,NA,NA,"Forests","",14,9,"","Sant’Anna Neto, A. and Lana, A.Q. and Lucas, F.M.F. and Ucella-Filho, J.G.M. and Polizel, J.L. and da Silva Filho, D.F. and Gonçalves, A.N. and Dias Júnior, A.F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172732142&doi=10.3390%2ff14091705&partnerID=40&md5=c3eea76a19c4613b37266b326d9443ab","English",NA,"","We present a novel and efficient approach that enables the evaluation of environmental quality in cities worldwide using high-resolution satellite imagery, based on a new green index (GI) through multivariate analysis, to compare the proportion of urban green spaces (UGSs) with built and impervious surfaces. High-resolution images were used to perform a supervised classification of 25 districts in the city of São Paulo, Brazil. Only 11 districts showed higher urban forests, green spaces, green index, and green vs. built values, and impervious surface proportions with lower impervious and built spaces. On the other hand, the remaining districts had higher population densities and unfavorable conditions for urban ecosystem development. In some cases, urban green spaces were three-times smaller than the built and impervious surfaces, and none of the districts attained a high green quality index (0.75 to 1). Artificial intelligence techniques improved the precise identification of land cover, particularly vegetation, such as trees, shrubs, and grasses. The development of a novel green index, using multivariate statistical analysis, enhanced positive interactions among soil cover classes, emphasizing priority areas for enhancing environmental quality. Most of them should be prioritized by decision makers due to the low environmental quality, as identified by the low green index and worse ecosystem services, well-being, and health outcomes. The method can be employed in many other cities to enhance urban ecosystem quality, well-being, and health. The green index and supervised classification can characterize pastures, degraded forest fragments, and guide forest restoration techniques in diverse landscapes. © 2023 by the authors.",NA,"10.3390/f14091705","environmental pollution;green quality;remote sensing;urban planning;Conservation;Decision Making;Ecosystems;Forestry;Quality Control;Remote Sensing;Brazil;Sao Paulo [Brazil];Sao Paulo [Sao Paulo (STT)];Conservation;Decision making;Ecosystems;Forestry;Multivariant analysis;Population statistics;Quality control;Satellite imagery;Soils;Ecosystem services;Environmental pollutions;Environmental quality;Green indices;Green quality;Impervious surface;Remote-sensing;Supervised classification;Urban ecosystem;Urban green spaces;decision making;ecosystem service;greenspace;megacity;pollution;remote sensing;satellite imagery;urban planning;Remote sensing",NA,NA,"Excluded",NA,NA,NA,"wrong population",NA
