title,abstract,abstract_id
Reclaiming Tropical Saline-Sodic Soils with Gypsum and Cow Manure,salinesodic soils are a major impediment for agricultural production in semiarid regions salinity and sodicity drastically reduce agricultural crop yields damage farm equipment jeopardize food security and render soils unusable for agriculture however many farmers in developing semiarid regions cannot afford expensive amendments to reclaim salinesodic soils furthermore existing research does not cover soil types eg luvisols and lixisols that are found in many semiarid regions of south america therefore we used percolation columns to evaluate the effect of inexpensive chemical and organic amendments gypsum and cow manure on the reclamation of salinesodic soils in the northeast of brazil soil samples from two layers 020 cm and 2040 cm in depth were collected and placed in percolation columns then we applied gypsum into the columns with and without cow manure the experiment followed a complete randomized design with three replications the chemical amendment treatments included a control and four combinations of gypsum and cow manure percolation columns were subjected to a constant flood layer of 55 mm we evaluated the effectiveness of sodic soil reclamation treatments via changes in soil hydraulic conductivity chemical composition cations and anions electrical conductivity of the saturated soilpaste extract ph and the exchangeable sodium percentage these results suggest that the combined use of gypsum and cow manure is better to reduce soil sodicity improve soil chemical properties and increase water infiltration than gypsum alone cow manure at 40 ton ha1 was better than at 80 ton ha1 to reduce the sodium adsorption ratio,1
"Growth, Biomass and Carbon Stocks in Forest Cover Planted in an Area of Bauxite Mining in Rehabilitation",forest cover in areas degraded by mining is an alternative way of mitigating co2 concentrations in the atmosphere by fixing c in tree biomass this study evaluated the growth and c stocks of forest cover in an area of bauxite mining with four sources of fertilizer height ht diameter at ground level dgl and diameter at breast height dbh were determined in anadenanthera peregrina ap clonal eucalyptus euc and a mixed plantation of 16 native forest species nat at 6 18 36 and 56 months of age trunkbark volume biomass and c stock were also determined for these forest covers at 56 months of age the fertilization treatments were a standard sf adopted by the company sf plus organic fertilizer of chemical fertilizer cf and ofcf euc displayed greater values of ht dgl and dbh under ofcf and of fertilization did not influence the ht and dbh of ap but dgl was higher under ofcf at 36 months compared to sf the ht values of nat were influenced by fertilization at 18 months with the lowest values under sf the fertilization influenced the dgl of nat at 36 and 56 months which did not occur with dbh the pioneer species had higher ht dgl and dgb compared to nonpioneer species regardless of the type of fertilization studied fertilization influenced the ht and dgl of pioneer species at 18 and 36 months of age and only the ht of nonpioneer species the estimates of euc biomass 255 mg ha1 and c stocks 120 mg ha1 under ofoc were four times greater than in ap and nat which showed no difference between themselves or the types of fertilization the growth and estimates of volume biomass and c stocks of the forest cover were comparable to those of unmined areas euc had the greatest growth biomass and c stocks,2
AGRONOMIC AND ENVIRONMENTAL PERFORMANCE OF MELON PRODUCED IN THE BRAZILIAN SEMIARID REGION,this study evaluates the agronomic and environmental performance of yellow melons produced in an experimental area in rio grande do norte brazil using conventional methods and alternative systems of cultivation based on the rotation of melons with green manure crops two types of alternative management systems were evaluated spanning twelve treatments i tillage with the incorporation of the green manure biomass into the soil via the subsequent planting of melons into that residue and ii no tillage with the maintenance of the biomass on the soil surface with subsequent planting of melons agronomic performance was evaluated by statistical analysis of productivity while environmental performance was evaluated by analyzing the carbon footprint according to iso 14067 agronomic analysis showed that rotation of melons with maize and brachiaria resulted in a higher yield of melons for export assessment of the carbon footprint of this system in relation to the conventional system showed that the rotation system presented a lower carbon footprint a scenario analysis showed that the carbon footprint can be further reduced by 4254 if i production takes place in areas already cultivated for more than 20 years ii the amount of inorganic nitrogen applied is reduced by 50 and iii commercialization of melons begins in the united states this study shows the importance of rotating melons with green manure crops to increase production in the semiarid region and reduce the carbon footprint of this fruit,3
Soil carbon fluxes and balances of crop rotations under long-term no-till,background a field study with the same crop rotations was conducted to test the hypothesis that the soil carbon fluxes and balances could vary according to the crop species and also mitigate carbon dioxide co2 emission this study aimed to assess the co2emission from crop rotations according to c and n inputs from crop residue the influences on soil organic carbon soc and total soil nitrogen tn stocks identifying the soybean production systems with positive c balance triticale x triticosecale or sunflower helianthus annuus are grown in the fallwinter sunn hemp crotalaria juncea forage sorghum sorghum bicolor pearl millet pennisetum glaucum or fallow are the spring treatments and soybean as a main crop in summer results we found that high c inputs from crop residues modify the c dynamics in crop rotations by reducing the c output co2 and increasing c sequestration in the soil in general the higher soc c stocks and tn in soil surface were due to higher c and n inputs from sunn hemp or forage sorghum crop residues in spring these crops also produced lower accumulated co2emissions and when rotating with triticale in the fallwinter season resulted in a positive c balance making these soybean crop rotations more efficient conclusion our study suggests the ideal crop species choice in a rotation can mitigate the co2emissions by increasing c and n input from crop residues and consequently soc and c stocks in particular crop rotation comprises an important tool to achieve a positive c balance mitigate co2emissions and provide an additional ecosystem service to soybean cultivation option,4
Agroforestry system improves soil carbon and nitrogen stocks in depth after land-use changes in the Brazilian semi-arid region,agroforestry systems have the potential to increase soil organic matter with effects on soil carbon and nitrogen contents but information on the application of these systems in semiarid regions is still scarce this study aimed to analyze soil carbon and nitrogen stocks in the conversion of native forest from the caatinga biome into integrated agriculture systems in the brazilian semiarid region we evaluated the following management systems in the haplic inceptisol cambissolo haplico eutrofico 1 intercropping area cultivated with corn and massai grass 2 caatinga natural vegetation 3 afs10 agroforestry system with native woody forest rows occupying 33 and agriculture occupying 66 of the total area and 4 afs20 agroforestry system presenting inverse proportions of afs10 the agroforestry systems were intercropped with sorghum or millet pigeon pea and massai grass we collected disturbed and undisturbed soil samples at the layers of 000010 010020 020040 040060 and 060100 m for analysis of carbon soc nitrogen n soil bulk density and calculation of soc and n stocks and cn ratio two years after the conversion of natural vegetation to the agricultural area intercropping and agroforestry system afs10 and afs20 we applied principal component and cluster analysis to explore the data and confidence interval to compare the means of accumulated soc and n stocks up to 1 m soil depth no differences exist for the properties analysed in superficial layers 000010 and 010020 m regardless of landuse systems afs20 increase the soc content and consequently soc stock in subsurface layers on the other hand intercropping increases n content and n stock afs20 presented higher accumulated soc stocks up to 100 m 11497 mg ha1 agroforestry systems management is an alternative for increasing carbon sequestration under the conversion from caatinga to agricultural areas,5
"Impact of cropping methods on biodiversity in coffee agroecosystems in Sumatra, Indonesia",the sustainable management of biodiversity and productivity in forested lands requires an understanding of key interactions between socioeconomic and biophysical factors and their response to environmental change appropriate baseline data are rarely available as part of a broader study on biodiversity and profitability we examined the impact of different cropping methods on biodiversity plant species richness along a subjectively determined landuse intensity gradient in southern sumatra ranging from primary and secondary forest to coffeefarming systems simple complex with and without shade crops and smallholder coffee plantings at increasing levels of intensity we used 24 40 5 m plots to record site physical data including soil nutrients and soil texture together with vegetation structure all vascular plant species and plant functional types pfts readily observable adaptive morphological features biodiversity was lowest under simple intensive nonshaded farming systems and increased progressively through shaded and more complex agroforests to late secondary and closedcanopy forests the most efficient single indicators of biodiversity and soil nutrient status were pft richness and a derived measure of plant functional complexity vegetation structure tree dry weight and duration of the landuse type to a lesser degree were also highly correlated with biodiversity together with a vegetation or v index the close correspondence between these variables and soil nutrients suggests they are potentially useful indicators of coffee production and profitability across different farming systems these findings provide a unique quantitative basis for a subsequent study of the nexus between biodiversity and profitability copyright 2004 by the authors,6
Disentangling how management affects biomass stock and productivity of tropical secondary forests fallows,a better understanding of biomass production in secondary forests after cultivation is essential for assessing the resilience of slash and burn systems and their capacity to deliver ecosystem services biomass production is influenced by management legacies landscape configuration and soil but these drivers are rarely studied simultaneously nor is the role of changes in vegetation properties in linking them to biomass production we assessed how management legacies affect biomass in secondary forests created by slash and burn in the central congo basin and tested whether changes in productivity could be attributed to changes in stem density functional diversity functional identity or soil using data from 6452 trees in 96 fallow plots nested in 3 study sites we looked for the main determinants of aboveground biomass agb of woody vegetation in fallow systems next using a subset of 58 plots in fallow fields aged 5 to 10 years we used confirmatory path analysis to explore the relations between management history soil vegetation properties and biomass productivity the sampled fallow fields had on average 584 462 mg ha1 agb agb was positively related to both fallow age and to the proportion of remnant trees in agb and negatively related to the number of previous cultivation cycles biomass productivity varied with the number of previous slashandburn cycles with notable declines in the fourth cycle the effect of management history was mainly through a reduction in the dominance of fast growing tree species and in the number of regenerating stems which were also indirectly affected by an increase in c odorata cover soil fertility status and the biomass of remnant trees also modified biomass productivity our findings suggest that under the current management intensity the capacity of the slash and burn system to provide important ecosystem functions such as carbon sequestration is declining c 2018 elsevier bv all rights reserved,7
A new in-field indicator to assess the impact of land management on soil carbon dynamics,the assessment of the impacts of landuse and management on soil organic carbon soc dynamics is a major environmental concern as the soil carbon cycle underpins key ecosystem services however assessments based on shortterm soc dynamics face methodological and experimental difficulties hurisso et al 2016 proposed a method to assess soc dynamics by coupling two methods permanganate oxidizable carbon poxc and basal soil respiration bsr this method has been used in laboratory on dried and rewetted soil samples from temperate regions mainly in our study we adapted this method to the field and proposed a costeffective infield indicator combining the poxc and in situ basal soil respiration situresp r methodwe tested the indicator at four study sites n 169 points within various tropical landuse and management contexts based on rubber soybean and oil palm cropping systems respectively in thailand cambodia and indonesia the results demonstrated the relevance sensitivity and robustness of the poxcsituresp r indicator to characterize the impact of a gradient of disturbance on soc dynamics the results also highlighted the potential of conservation agriculture notillage and crops residues and compost amendments to accumulate soc rockeval r analysis showed that poxcsituresp r indicator is negatively linked to excess of potentially mineralizable labile carbon carbon pools targeted by the poxc were specified by rockeval r pyrolysis measurements to be a rather thermal resistant pool of socour study confirms that the integrated indicator based on poxc and bsr assess a relative carbon stabilization of soc pools this indicator can be measured in the field by a rapid and costeffective method,8
"Greenhouse gas emissions from sugar cane ethanol: Estimate considering current different production scenarios in Minas Gerais, Brazil",the studies of greenhouse gas ghg emissions of sugarcane ethanol production show few scenarios or in most cases a single representative scenario of the most common practices for ethanol production however the combination of the diverse sugarcane agricultural and industrialization practices lead to a wide variety of production scenarios current studies do not show the ghg emissions balance for all these scenarios this issue is the aim of this study which presents a ghg emissions balance of ethanol production considering 120 different scenarios related to current sugarcane agricultural and industrial practices in brazil with data of minas gerais in order to obtain the ethanol production scenarios different types of cultivation fertilization harvesting and different sugarcane crop cycles were combined the scenarios were classified by groups according to their ghg emission levels the main characteristics of each group were analyzed in order to identify the factors that influence the performance of ghg emissions the results show ghg emission levels ranging from 248938 kg co2eqha1yr1 to 328995 kg co2eqha1yr1 depending on the regime of agricultural practices present in each scenario the factors that most favor the increase of ghg emission levels are short sugarcane crop cycle combined with fertigation with stillage these two factors were present in production scenarios that presented the highest levels of ghg emissions in this study the factors that most favor the decrease of ghg emissions are long sugarcane crop cycle fertilization without stillage on ratoon and mechanical harvesting without sugarcane burning all these factors were present in scenarios that presented the lowest ghg emissions on the other hand in certain agricultural conditions the mechanical harvesting of green cane showed to be as polluting as manual harvesting of burnt cane the differences between the types of cultivation showed no significant influence on the final balance of ghg emissions,9
A simplified modelling approach for quantifying tillage effects on soil carbon stocks,soil tillage has been shown to affect longterm changes in soil organic carbon soc content in a number of field experiments this paper presents a simplified approach for including effects of tillage in models of soil c turnover in the tilledsoil layer we used an existing soil organic matter som model cnsim with standard soc data for a homogeneous tilled layer from four longterm field experiments with conventionally tilled ct and notill nt treatments the som model was tested on data from longterm 10 years field trials differing in climatic conditions soil properties residue management and crop rotations in australia brazil the usa and switzerland the c input for the treatments was estimated using data on crop rotation and residue management the som model was applied for both ct and nt trials without recalibration but incorporated a tillage factor tf to scale all decomposition and maintenance parameters in the model an initial value of tf 057 parameter uncertainty pu 015 for nt with tf set to 10 for ct was used on the basis of a previous study with observations of soil co2 respiration the simulated and observed changes in soc were then compared using slopes of linear regressions of soc changes over time results showed that the som model captured observed changes in soc content from differences in rotations n application and crop residue management for conventional tillage on the basis of soc change data a mean tf of 048 standard deviation sd 012 was estimated for nt the results indicate that i the estimated uncertainty of tillage effects on soc turnover may be smaller than previously thought and ii simple scaling of som model parameters may be sufficient to capture the effects of soil tillage on som turnover in the tilled layer scenario analyses showed that the average extra c input needed to compensate for soil tillage was 762 sd 351 kg c ha1 year1 climatic conditions temperature and precipitation also affected how much extra c was needed with substantially larger inputs being required for wetter and warmer climates,10
