"","x"
"1","aboveground biomass"
"2","aboveground carbon"
"3","agricultural landscapes"
"4","agroforestry management"
"5","agroforestry practices"
"6","agroforestry system"
"7","agroforestry systems"
"8","anthropogenic disturbance"
"9","araucaria angustifolia"
"10","araucaria forest"
"11","atlantic forest"
"12","atlantic rainforest"
"13","avoided deforestation"
"14","biodiversity conservation"
"15","brazilian amazon"
"16","brazilian atlantic"
"17","brazilian atlantic forest"
"18","brazilian cerrado"
"19","cacao agroforestry"
"20","cacao agroforestry systems"
"21","carbon accumulation"
"22","carbon dioxide"
"23","carbon dynamics"
"24","carbon emissions"
"25","carbon market"
"26","carbon sequestration"
"27","carbon sequestration potential"
"28","carbon stock"
"29","carbon stocks"
"30","carbon storage"
"31","cattle grazing"
"32","central kalimantan"
"33","central sulawesi"
"34","change mitigation"
"35","chemical properties"
"36","clean development"
"37","clean development mechanism"
"38","climate change"
"39","climate change mitigation"
"40","climate mitigation"
"41","coffee agroforestry"
"42","community forest"
"43","community structure"
"44","conservation policies"
"45","cover change"
"46","cover crops"
"47","cropping systems"
"48","degraded areas"
"49","development mechanism"
"50","eastern amazon"
"51","ecological knowledge"
"52","ecological restoration"
"53","economic benefits"
"54","ecosystem restoration"
"55","ecosystem service"
"56","ecosystem services"
"57","environmental factors"
"58","environmental services"
"59","eucalyptus plantations"
"60","farming systems"
"61","forest carbon"
"62","forest conservation"
"63","forest conversion"
"64","forest cover"
"65","forest degradation"
"66","forest ecosystems"
"67","forest fragmentation"
"68","forest fragments"
"69","forest inventory"
"70","forest management"
"71","forest plantations"
"72","forest regeneration"
"73","forest remnants"
"74","forest restoration"
"75","forest structure"
"76","functional diversity"
"77","genetic diversity"
"78","gerais state"
"79","indonesian peatland"
"80","indonesian peatlands"
"81","integrated crop-livestock"
"82","land-use change"
"83","land-use systems"
"84","livestock production"
"85","livestock systems"
"86","long-term effects"
"87","management practices"
"88","management systems"
"89","mangrove conservation"
"90","mangrove ecosystem"
"91","mangrove forest"
"92","mangrove forests"
"93","mangrove restoration"
"94","microbial biomass"
"95","minas gerais"
"96","minas gerais state"
"97","multiple ecosystem"
"98","native vegetation"
"99","natural regeneration"
"100","north sumatra"
"101","northeast brazil"
"102","northeastern brazil"
"103","nutrient cycling"
"104","organic carbon"
"105","organic matter"
"106","passive restoration"
"107","paulo state"
"108","peatland ecosystem"
"109","peatland restoration"
"110","permanent preservation"
"111","permanent preservation areas"
"112","physical properties"
"113","plant diversity"
"114","plant species"
"115","preservation areas"
"116","production systems"
"117","protected areas"
"118","reducing emissions"
"119","remote sensing"
"120","restored mangrove"
"121","riparian forest"
"122","river basin"
"123","santa catarina"
"124","secondary forest"
"125","sequestration potential"
"126","shade trees"
"127","silvopastoral system"
"128","silvopastoral systems"
"129","south america"
"130","southeastern brazil"
"131","southern bahia"
"132","southern brazil"
"133","spatially explicit"
"134","species diversity"
"135","species richness"
"136","successional stages"
"137","sustainable agriculture"
"138","sustainable development"
"139","sustainable forest"
"140","sustainable forest management"
"141","sustainable management"
"142","swamp forest"
"143","tillage systems"
"144","tropical forest"
"145","tropical forests"
"146","tropical peatland"
"147","tropical peatlands"
"148","tropical rainforest"
"149","vegetation structure"
"150","water quality"
"151","woody species"
