Timestamp,DOI,Location Detail,Country,Study Object,Land-use context,Modified condition of the population by human intervention prior to the study,Intervention in the study (has to be an activity that modifies the population study for the sake of the study),"NCS Category (Griscom, 2020)",Study design,Comparator,Statistical analysis,Data collection methodology - Material,Data collection methodology - Method,Outcome,Outcome in details,Intermediate outcome/explanatory variable?,How did the study quantify the uncertainty?,Does the output use remote sensing technology?,Data collection methodology: primary field sampling?,Source of uncertainty in the measurement,Column 19
5/14/2025 5:08:49,10.3390/w12010057,"Hydraulic Engineering Laboratory of the Federal Rural University of the Semi-Arid Region (UFERSA), Mossoró, Rio Norte (RN), Brazil",Brazil,saline-sodic soils,agriculture,"Soil degradation, caused by increased salinity and sodicity",reclamation using chemical and organic amendments (gypsum and cow manure),restore: reforestation,randomized design with five treatments and three replicates,control variable,comparison of means by tukey test,soil cation tester,experimental lab design,soil chemical components,"pH, Ca, Mg, K, Na, P, ESP, ECe, SAR, hydraulic conductivity, and water infiltration rate",No,not reported,No,,,
5/14/2025 5:23:45,10.1016/j.rse.2023.113888,"S ̃ao Paulo State, Brazil, and California State, USA",Brazil,canopy height,forest,ecosystem's natural condition,no modification was done in the study,ecosystem monitoring study,qualitative and quantitative evaluation of height accuracy and tree segmentation,no comparator,,Maxar Vivid2 mosaic imagery,"describe the model training specifics, including self supervised learning and the methods for combining models trained on aerial lidar with models trained on GEDI observations, and the baseline models selected and ablation studies performed",canopy height maps,"qualitative and quantitative evaluation of height accuracy and tree segmentation, and discuss the generalization of our model",No,"Boostrapping with 10,000 iterations",Yes,,,
5/14/2025 5:39:38,10.1016/j.agee.2023.108597,Maniema Province in eastern DRC.,DRC,smallholder farms,agriculture,ecosystem's natural condition,conservation agriculture,manage: trees in agricultural lands,"soil and crop data were arranged in a split-split-plot design, where the whole-plot factor was the agroecological region (i.e., forest or savannah), referred to as ecosystem",control variable,,standard laboratory equipment for soil chemical analysis,laboratory analysis,soil chemical properties,soil chemical properties,No,not reported,No,,,
5/14/2025 5:44:31,10.1016/j.agee.2023.108597,,,,,,,,,,linear mixed-effects modeling,field soil core sampler,handcount,soil biology properties,earthworm,No,not reported,No,,,
5/14/2025 5:46:45,10.1016/j.agee.2023.108597,,,,,,,,,,,human,harvest,cowpea yield,Cowpea harvest took place four months after planting,No,not reported,No,,,
5/14/2025 6:05:39,10.1590/18069657rbcs20180212,"a rural property located in São Sebastião da Vargem Alegre, Minas Gerais, Brazil",Brazil,bauxite mining area restoration,,area of bauxite extraction,"restoration plantation using Anadenanthera peregrina (Ap), clonal Eucalyptus (Euc), and a mixed plantation of 16 native forest species",restore: reforestation,randomized block design with split plots and three replicates,fertilization treatment,standard significance statistical analysis,standard vegetation analysis field measurement kit,rigorous cubing (non-destructive method),tree biomass,"Estimates of the biomass of the evaluated trees (B) were obtained by multiplying the volume of each tree (trunk+bark) (V) by the wood basic density, individually for each species",No,coefficient of determination (R2) and residual standard error (Syx),No,,,
5/14/2025 6:09:45,10.1590/18069657rbcs20180212,,,,,,,,,,,standard vegetation analysis field measurement kit,field measurement,vegetation structural parameter,"Total tree height (Ht) and circumference at ground level (CGL) and/or at breast height, 1.3 m from the ground (CBH), were measured at 6, 18, 36, and 56 months for each tree in the experiment",Yes,not reported,No,,,
5/15/2025 5:46:17,10.1590/1983-21252019v32n403rc,"an experimental area in Rio Grande do Norte, Brazil",Brazil,yellow melon production agriculture,agriculture,business as usual operation of human's activity,"tillage, with the incorporation of the green manure",,split-plot randomized block design was used with four replicates,"no tillage, without incorporating green manure biomass into the soil",standard significance statistical analysis,melon agriculture processing facilities,standard industrial production,agronomic evaluation,"The following data were collected for all cultivations: input use (e.g. fertilizer, electricity, diesel fuel, etc.), yield, fruit quality, and soil and plant carbon contents.",No,not reported,No,,,
5/15/2025 5:48:24,10.1590/1983-21252019v32n403rc,,,,,,,,,,,secondary data of production process,"carbon footprint, according to ISO 14067",carbon footprint,"GHG emissions, namely carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) were estimated according to methodologies proposed by the IPCC (2006) using emission factors from national GHG inventories",No,Monte Carlo method was used to evaluate the uncertainty in comparing carbon footprints between treatments,No,,,
5/15/2025 6:06:44,10.1016/j.scitotenv.2018.12.138,"Tshopo Province, central Congo basin in DRC. We sampled fallow fields in three villages (Yambela, Yaoseko and Bawi)",DRC,fallow fields,agriculture,"slash-and-burn practice, management history and landscape configuration",no modification was done in the study,manage: improved fire management,"sampled 96 fallow fields of different age classes. stratified-random sampling, aiming to have a number of repetitions for each combination of age class and number of cycles",control plot,"goodness-of-fit tests, the AICc scores, and standardized effect sizes","Measured stems were tagged and identified by botanists of the University of Kisangani (DR Congo) and local village experts. The DBH was recorded following the RAINFOR protocol, including methods for deviating points of measurement (Phillips et al., 2016). Specimens were taken for comparison with the reference collection of the herbarium of the Botanic Garden in Meise, Belgium. Tree heights were measured in each plot using a Vertex IV ultrasound system (Haglöf)",standard field measurement,above ground biomass,"The aboveground biomass (AGB, in Mg) of each tree was estimated using the best-fit pan tropical allometric model of Chave et al. (2015), requiring inputs on (i) wood density (WD), (ii) tree diameter at breast height (DBH) and (iii) tree height (H).",No,statistical analysis,No,,,
