"","term","strength","rank"
"1","harapan rainforest",9,1
"2","brazilian pantanal",12,2
"3","eucalyptus grandis",12,2
"4","edaphic fauna",13,4
"5","initial development",13,4
"6","asia-pacific region",14,6
"7","intensification gradient",15,7
"8","south brazilian grasslands",16,8
"9","organic management",17,9
"10","coffea canephora",18,10
"11","shade cocoa",18,10
"12","community forest management",19,12
"13","ecosystems based",19,12
"14","southern amazonia",19,12
"15","applied nucleation",20,15
"16","brazilian semi-arid region",20,15
"17","rainforest margins",20,15
"18","straw removal",20,15
"19","brazilian grasslands",21,19
"20","southeast sulawesi",21,19
"21","biological reserve",22,21
"22","current trends",22,21
"23","water security",22,21
"24","butterfly assemblages",23,24
"25","gunung palung",23,24
"26","gunung palung national",23,24
"27","palung national",23,24
"28","peatland conservation",23,24
"29","reference ecosystems",23,24
"30","short communication",23,24
"31","sustainable intensification",23,24
"32","brazilian semi-arid",24,32
"33","orangutan habitat",24,32
"34","southern brazilian atlantic",24,32
"35","conservation forest",25,35
"36","lessons learned",25,35
"37","urban green areas",25,35
"38","araucaria forests",26,38
"39","humic substances",26,38
"40","microbial diversity",26,38
"41","south brazilian",26,38
"42","green areas",27,42
"43","nitrous oxide",28,43
"44","river watershed",28,43
"45","small mammals",28,43
"46","cocoa agroforestry",29,46
"47","community-based mangrove",29,46
"48","contrasting landscapes",29,46
"49","development reserve",29,46
"50","south sulawesi",29,46
"51","sustainable development reserve",29,46
"52","earthworm species",30,52
"53","grazing exclusion",30,52
"54","cocoa plantations",31,54
"55","services programs",31,54
"56","pinus taeda",32,56
"57","araucaria forest remnants",33,57
"58","direct seeding",33,57
"59","integrated assessment",33,57
"60","urban forests",34,60
"61","community forestry",35,61
"62","tropical climate",35,61
"63","management strategy",36,63
"64","rainforest conversion",37,64
"65","rubber agroforests",37,64
"66","tropical landscapes",37,64
"67","urban afforestation",37,64
"68","agroforestry landscapes",38,68
"69","kalimantan province",38,68
"70","cerrado vegetation",39,70
"71","janeiro state",39,70
"72","semideciduous forest",39,70
"73","cocoa agroforests",40,73
"74","western amazon",40,73
"75","degraded tropical peatland",42,75
"76","illegal logging",42,75
"77","nature-based solutions",42,75
"78","semi-arid region",42,75
"79","southeast brazil",43,79
"80","subtropical grasslands",43,79
"81","biomass accumulation",44,81
"82","genetic structure",44,81
"83","nitrogen stocks",44,81
"84","south sumatra",45,84
"85","priority areas",47,85
